,content,score
19,"Saya sungguh kecewa bgt saya sudah transfer beli 4 barang, dan tiba tiba di batalkan tulisan nya ""dibatalkan otomatis oleh sistem karena pesanan melanggar T&C"" padahal saya baru instal tidak tahu apa apa, dan saya cek saldo uang kembali malah kurang 10 ribu, saya kecewa banget saya terlahir di keluarga yg kurang mampu 10 ribu itu berarti banget tetapi malah tokopedia asal batalin otomatis segala lagi, pake ada acara melanggar T&C maksudnya apaan 10 ribu itu uang loh sama aja dengan korupsi itu!!",1
20,"Aplikasi sampah.. saya pengguna baru.. dapet voucher potongan 30 ribu.. Order.. Dibayar tadi pagi lewat briva.. sudah dibayar dan sukses tiba tiba dibatalkan sepihak.. Apa ga sampah namanya Alasannya melanggar ketentuan.. Kalo memang ada yg ga sesuai harusnya dari awal ga bisa dibayar dong.. Heran aplikasi sampah kaya gini ko bisa rating 4,7 Rating bayaran ya?",1
21,"Harap berhati-hati untuk calon buyer yang ingin berbelanja di olshop ini, karena olshop dan penjualnya bekerjasama menipu pembeli. Saya membeli akuarium cupang di toko 'riscape' sebanyak 6 buah seharga 134.000, dan kesemuanya dalam kondisi barang yg buruk dan menggunakan kaca bekas. Saya sudah komplain ke pihak tokped tapi tidak bisa memberikan solusi, dan tetap merugikan pembeli.",1
22,"Saran supaya lebih fair antara penjual dan pembeli dong, untuk tambahin fitur di ulasan bisa upload video, jadi bukan hanya foto. Juga kalau bisa diskusi itu di ulasan, karena kadang saya ngerasain sebagai buyer atau bahkan penjual, suka bingung mau nentuin mana yang sebetulnya jujur (penjual/pembeli) jadi supaya lebih worriless aja kalo belanja disini. Karena jujur, maupun ada promo apapun di marketplace lain, aku selalu nyamannya sama tokopedia gak tau kenapa.",3
23,"Kenapa UI ketika dibagian menunggu pembayaran tidak bisa menampilakan produk yg ingin dibeli ? Ya walaupun sudah terdapat invoice, tapi rasanya kurang yakin aja klo cuma sekedar teks, soalnya kan klo ketika sudah klik proses pembayarannya, kadang kita gk bisa langsung bayar, bisa aja nunggu ke ATM atau ke Indomaret, dan ketika ingin transfer harus cek ulang lagi, bener gk ini yg mau dibeli ? 😩 Tolong UI bagian ini kembalikan seperti dahulu lagi 😓",4
24,"Terima kasi aplikasi tokopedia suda membantu saya dalam akses pelatihan kelas online untuk pelatihan,,,kartu prakerja,,,di mana sya sangat ke sulitan tp dengan tokopedia sya bisa lebih gampang menyelesaikannya dengan baik,,,trimakasi tokopedia memang sangat bagus dan membantu sekali dalam melakukan program kartu prakerja,,,untuk itu selain itu sangat membantu jga dalam berbelanja online dimana kita bisa pesan dan belih jadi saran sya tokopedia memang Aplikasi yg sangat baik dan luar biasa,,,,,,,",5
25,"Saya begitu kecewa dengan pihak tokopedia karena saya mau kredit hp menggunakan Home Credit syarat nya harus berusia minimal 21 tahun (belum menikah)... Sementara umur saya 19 tahun dan 1 bulan lagi sudah berumur 20 tahun tetapi saya sudah mempunyai penghasilan, saya mempunyai usaha rumah makan sendiri dirumah... Tolong lah saya mohon bantuan nya kepada pihak tokopedia agar dapat membantu saya, saya mau kredit hp seharga 7 jutaan... Saya pun membayar nya dibantu kok sama mama saya Thanks 🙏",2
26,"Biar bintang yang bicara. Kapok belanja di Tokopedia. Untuk kesekian kali belanja disini barang bermasalah dr seller. proses complain yg kesannya lbh memihak seller yang jelas"" salah kirim barang. Folower n Rating toko gak menjamin barang yang dikirim sesuai dengan gambar atau deskripsi. Maaf tapi benar"" kecewa. Tidak ada nomor CS yang bisa di hubungi jg. Tokopedia Care juga gak membantu proses bertele"". Bad OLSHOP.",1
27,"Alhamdulillah komplainan saya diterima,dan sebentar lagi selesai.menurut saya penyelesaiannya cukup lama ya,sy butuh waktu 2 hari untuk mendapat respon dari cs tokopedia.semoga saja tokopedia kedepannya lebih baik lagi dan mengedapankan kepercayaan para costumernya🙏dan jangan lupa basmi para penjual yg tdk bertanggung jawab🙏karena itu sangat merugikan costumer🙏",4
28,Trasaksi pelatihan kerja prakerja yang saya lakukan hilang dari daftar transaksi di akun tokopedia saya sehingga saya tidak dapat memberikan ulasan. Bagai mana ini bisa terjadi? Saya sudah mencoba membuat complan di pusat bantuan toped care tapi tidak bisa krena perlu memasukan transaksi yg dicomplain sedangkan transaksinya hilang.???????,2
29,"Baru pertama belanja, menggunakan aplikasi tokopedia. Kesan pertama menyenagkan, banyak produk ditawarkan oleh penjual dengan harga sangat murah. Tapi sayang banyak toko yang sudah tidak aktif lebih dari 30 hari...sangat disayangkan toko-toko tersebut tetap tampil, pasti banyak pengguna yang kecele seperti saya. Terlanjur klik, ternyata penjual tidak merespon, saya batalkan tetap menunggu penjual, bukan soal uangnya. Tolong dong tokopedia tertibkan penjual yang sudah tidak aktif. Terima kasih.",3
30,"tokopedia berkembang dengan sangat baik dengan adanya gratis ongkir & voucher yang lumayan menarik, dan semoga bisa lebih gila lagi diskonnya sekedar masukan.. tampilan ui promo dll sangat tidak kompleks, terlalu membingungkan, apalagi untuk orang awam yg baru coba belanja online, semoga bisa lebih baik lagi.",3
31,"Aplikasi semakin hari bukanya bagus, malah tambah bobrok. Tiap hari upgrade tpi mlah gk bsa di pakai. Selalu muncul koneksi jaringan, tpi setelah hapus data input email bsa. Selang 10 mnit mau masuk lgi gk bisa. Anehnya lgi gk bisa masuk tpi iklanya lancar gonta ganti. Mungkin efek kbanyakan iklan, mkanya aplikasinya busuk.",1
32,"Terimakasih tokopedia atas kerja samanya, Saya pengguna kartu prakerja telah membeli pelatihan di Tokopedia yang jadi media untuk saya mengikuti webinar via zoom oleh skill academy. Materi yang di sampaikan sangat mudah di pahami. Terimakasih juga kepada pemerintah Atas program kartu prakerjanya. Dengan kartu prakerja ini saya dapat ilmu dan modal untuk memulai usaha. Dan Semoga marketplas tokopedia makin banyak pembeli dan makin jaya☺",5
33,"Akun saya dibilang tidak sah menggunakan promo yang ada di tokopedia, padahal saya hampir tidak pernah berbelanja di akses aplikasi tokopedia, dan buat bayar biro jasa tertentu pula eng sering, beli pulsa pun tidak sering, tapi dianggap tidak sah karena akun saya menyalahi aturan tokopedia saat saya mencoba kode promo nya pada beberapa promo yang saya dapat, lalu saya menunggu jawaban nya juga lama kenapa dengan akun saya, tapi tokopedia tidak memberi keterangan mengenai kondisi akun saya",1
34,Terima kasih aplikasi tokopedia. Membantu dalam akses pembelajaran kelas online untuk program KARTU PRAKERJA Dimana saya menggunakan skill akademy sebagai media pembelajaran online yang di sediakan oleh prakerja. Dan saya akses pembelian kelas online melalui platform besar tokopedia ini. Semoga semua berjalan dengan lancar dan dapat berguna bermanfaat bagi semuanya. Sukses selalu TOKOPEDIA,5
35,"hai..? ada apa denganmu tokopedia ,,kemaren saya suka aplikasimu ,,sekarang mo beli ikan saja susah alias stop order,,apa saya harus pindah ke aplikasi laen ,,, mikir dong notifnya aja selalu ada selalu bisa ,,,jujur saya mulai g enjoy diapl ini tidak bisa penuhi kebutuhan saya . buat si cepat kalo g nerima brupa prodak cair kenapa ? apa jgn2 orderanmu dah ramai jd jual mahal pilah pilih ,,,sombong amat dah punya nama",1
36,"Hallo min, Toko pedianya kenapa ya? Buat pelatihan prakerja padahal udah diulas kelasnya dan udah ada tulisan ""kelas sudah diulas"" tapi diskill academy nya bilang jika kelas belum diulas. Tolong dibantu ya min. Terima kasih",3
37,"Kenapa ketika membeli kelas Prakerja disini notifikasi ulasannya gak pernah langsung update, kok beda banget sama platform sebelah. Gara-gara hal ini terpaksa saya harus pindah. Karena saya tidak bisa beli kelas lagi. Tolonglah segera diperbaiki.",2
38,"Baru kali ini kecewa sama toped, karena kurirnya yg seenaknya sendri, pesen hari sabtu jam 21.00 pke kurir antaraja yg sameday, barang d kirim dri bekasi tujuan k bekasi, d traking kenapa barangnya muter2 smpe k tanah abang, trs balik lagi k bekasi timur, smpe hari senin skrg batang blm smpe, padahal pke kurir yg sameday. Tolong untuk toped kurir anteraja d tegur. Jangan seenaknya aj. Terimakasih",1
39,"Wahh wahh wah.. aplikasi ini memang jelek tapi boonggggg hayyyukkk, maaf hehehhee, aplikasi ini bener2 seru kalian wajib banget download, orang yg bilang aplikasi ini jelek ah itu boong ga usah percaya",5
40,"Dapet hadiah belanja 0Rp , pembayaran Via OVO. OVO udah di top up eh dibatalin hadiahnya. Brengsek, data dijebol, dapet hadiah dikibulin. Mending ke Shopee, lazada atau Bukalapak. ga tipu tipu apalagi data pribadi aman.",1
41,"Terima kasih toko pedia,sudah mebantu segala hal kehidupan di masa pandemi ini,dri segala jenis kebutuhan dan lain- lain. Dan bertambahnya ilmu pengetahuan dengan ikut pelatihan prakerja,tentu semoga kedepanya lebih baik lagi makin sukses selalu dan dan bermanfaat buat semua",5
42,"Suport app anak negeri... Dari jaman belum ada app yg lain udah pakai tokped,, simple asik... Kerjasama sama ovo malah makin asik banyak cashback yg bisa di pake... Yg bilang app ini jelek cuma orang2 aneh 🤣🤣🤣... Selama ini puas pake tokped dan bntar lg up member platinum 😁😁😁... Nice... Di banding app sebelah yg php...",5
43,Terimakasih Tokopedia.. saya dari prakerja telah membeli pelatihan dari tokped untuk kedua kalinya... Next nya akan beli lagi.. semoga pelayanannya makin berkembang terus ya.. terimakasihhhh,5
44,"Saya pelanggan baru tokopedia. Sdh 2x kasus yg sama. Waktu coba promosi gratis Rp 0 sdh melakukan pembayaran, transfer beres. Lgsg sama Tokopedia dibatalkan secara sepihak. Jadinya rugi di promosi & uang. Meski katanya di refund dlm bentuk saldo di Tokopedia jadi parno nanti sdh susah2 transfer dibatalkan lg secara sepihak. Tolong diperbaiki lagi sistemnya",1
45,"Awalnya aku kasih bintang 5 Sekarang bintang 3 dulu aja.Aplikasinya sekarang susah di buka..setiap habis di update .. Harus di instal ulang,kenapa bisa begitu toped ??",3
46,"Terima kasih Tokopedia Sangat membantu dalam pemilihan kelas akademi untuk prakerja, saya membeli skill akademik di Tokopedia dengan informasinya yang lengkap, dan tidak membingungkan saya dalam memilih skill akademik, penukaran voucher nya sangat akurat, cepat, ndk lalot, dan memberi pelajaran yang sangat bermanfaat dalam mengikuti pelatihan ini dan tidak takut memulai bisnis online Jaya selalu Tokopedia makin maju penjualan online terpercaya tercepat",5
47,"Sekedar himbauan juga kepada TOKOPEDIA yg katanya Aplikasi belanja online terbesar.. Saya sebagai penjual juga ngasih saran ajj supaya bisa ngasih orderan yg bener² gak menjebak kita sebagai penjual. Kasihan juga penjual yg udah banyak follower nya, yg memang bener² berniat mencari rejeki dengan jualan di sini. Tapi ending² nya di BLOK, lalu gak bisa jualan lagi. Yg alasannya manipulasi lah.. Pemalsuan apalah. !! Jadi serba salah jadi nya..",1
48,"Akun Tokopedia saya sudah dihack dari bulan maret 2020,, sampai sekarang belum ada tindak lanjut dari Tokopedia,,, sementara akun saya sering ada transaksi diluar sepengetahuan saya dan saldo ovo berkurang,,,, tolong developer bisa di bantu!!!!!",2
49,Hai...saya Edoranto Banjarnahor...trimakasih buat toko pedia..yang selalu memberikan yang terbaik buat masyarakat Indonesia...tidak pakai ribet...semua serba mudah..dan tidak pakai ribet....jaya terus buat toko pedia...trimakasih,5
50,"Hai......saya anggota pelajar,dari prakerja...terima kasih untuk tokopedia yang sangat sangat memudahkan saya dalam proses pembelajaran inj aksesnya sangat,memudahkan perjalanan saya dalam pembelajaran di skill academy prakerja..😘semoga ilmunya bermanfaat dan terus mengalir kak. Terimakasih tokopedia telah memudahkan saya dalam bertransaksi he..",5
51,Bagus banget pokok nya aplikasi ini😍 Terima kasih tokopedia..sangat membantu sekali dalam penyeleseian pelatihan online dari kartu prakerja.. Tokopedia selalu jaya😍 Tpi ini saya tambahin ya kak...masalah di prakerja ini kenapa sertifikat lama sekali munculnya...padahal yg baru selesai pelatihan sudah muncul,5
52,"Pertama kali install,terus dapet promo beli barang khusus untuk pengguna baru, udah dipesan dan bayar tapi dibatalkan karna melanggar ketentuan 😂mau pesan lagi eh udah gak bisa karna tadi udah keitung transaksi,padahal mereka yg batalin😭😭 kesan pertamanya nggak enak !! udah makenya susah nggak jelas lagi APK nya bye-bye Tokped👋",1
53,"Mau masuk email lama aja gk bisa2, keterangannya tokped lagi masalah terus. Padahal dah upload ktp dll. Mau liat fitur tuker tambah hp juga gk bisa mulu. Padahal selalu ikutin perintah dan petunjuk. Emang dah si orange tetep di hati semua rakyat",1
54,Hallo ini tokopedia apa bukan apa cuma iklan yg tipu2 aja? Tiba2 masuk ke layar saya dan bilang saya dapat hadiah xxxxxx...? Setelah saya cek dan ikut ini ikut itu petunjuk ternya dimana hadianya? Maaf bkn asal2lan cuma bertanya saja Dan saran saya tidak usah pakai spin2 Dan biarkan konsumen memilih untuk dounlod dan biar kami dounlod dgn hati kami sendiri Itu saja saran saya Goodluck tkpd Maaf saya hapus lagi logout,1
55,"1. Tampilan aplikasi terlalu warna warni bikin pusing, tolong ubah warna inti logo saja atau warna yang konsisten misal hijau, kuning, putih sesuai logo. 2. Owner toko tidak bisa merubah nama apapun alasannya, padahal alangkah baiknya diberi kesempatan max. 3 untuk pengubahan nama dan dalam jangka 1-3 bulan. 3. INTINYA TOKOPEDIA MINUS DALAM TAMPILAN PENYAJIAN DI APLIKASI.",2
56,"Barusan saya bayar pesanan, tapi setelah itu dibatalkan otomatis sama sitem tokopedia nya. Dibilang ada indikasi penipuan. Mau nipu apaan coba. Trs ini duit saya gimana",1
57,"kak mohon diperbaiki,update Tokopedia terbaru kayaknya kurang sempurna,sebab kalau ada chat skrg tidak bunyi ,saya sebagai penjual memiliki beberapa akun ,dan hanya di top seller kalau ada chat bunyi, sedangkan kalau di Tokopedia tidak ada notifikasi,, terimakasih",5
58,Klu gk sanggup ksih cashback jg. Kasih.. org sudah belanja tp gk dpt cashback.. Percuma jg u narik konsumen dengan cara itu awal tertarik ttpi akhir dikecewakan!!!!!!,1
59,"Pertama kali belanja pakai Aplikasi ini, sudah excited beli barang hadiah buat adik, pas bayar auto dibatalkan. Sudah senang dapat free ongkir, dan akhirnya gagal belanja Pengalaman terburuk selama belanja di olshop Kecewa banget si, gatau harus gimana. Kenapa harus PHP, dan juga ada acara pembatalan segala. So sad",1
60,"Tokopedia Top Banget, bnyk Promo. Layanan akurat, respon cepat, penyelesaian komplain seperti Loyer Terbaik, Solusinya pasti yg terbaik. Trimss Tokopedia Maju Terus.",5
61,"Saya sangat bahagia merasakan kehangatan kumpul bersama keluarga secara utuh makan tidak makan kumpul amin ya Allah ,semoga Allah selalu memberikan kesehatan, panjang umur,dan Rizki yang melimpah kepada kita semua amin.",3
62,"Mohon maaf sebelumnya, sekedar masukan pengalaman pribadi saya belanja di Tokopedia.Pelayanan kurang baik, deskripsi dengan real nya tidak sesuai.toko kooperatif tapi pengiriman nya melenceng jauh,tanya ke Tokopedia care ngga jelas dan ngga ada pelayanan.konsumen kesel juga cuma disuruh pasrah nunggu.intinya bikin kapok dan ngga berminat lagi belanja melalui aplikasi ini,cek kom dong min ke apk lain biar nggak bikin pengguna aplikasi nya kabur",1
63,Saya sudah lama berjualan di Tokopedia. Tapi untuk saldo yg saya hasilkan itu untuk di cairkan ke rekening saya lama same 2 hari menunggu . Saya mohon lah untuk pencairannya minimal 1 hari saja dong. Masa ini harus nunggu 2 hari kan lama banget,3
64,"ini kenapa servernya kok tiap kali mau browsing liat2 barang selalu error coba lagi terus, niat mau belanja jadi nggak jadi terus. tolong dong segera di tangani biar konsumen lebih puas. trima kasih",1
65,"Utk penanganan komplain barang terlalu lama sangat, dr tgl 1 noverber barang retur dan sdh di terima tgl 16 November (proses retur aja smpe 15 hari), dan hr ini tgl 23 November 2020 jam 20:44 blm ada solusinya smpe skrg. Luar biasa lamanya, klo smpe bsk blm ada solusi otomatis uninstal, gk prlu tggu smpe sebulan.....!!",1
66,aku rada waswas dengan penggunaan kartu kredit .. dulu pernah di manipulasi .. adminnya salah ngubah cicilan dan harga barang .. dan akhirnya aku miskin dibuatnya ..,2
67,"Ass, saya pengen menjelaskan kenapa saya instal aplikasi ini karena awalnya sya dapet e-mail dari crome untuk menerima saldo 300 ribu yg diundi setiap hari sabtu setelah itu sya mengikuti syarat dan ketentuan nya dibimbing lah sya untuk menginstal aplikasi ini setelah udah diinstal ternyata sya tertipu dengan uplikasi ini yg katanya kalo pengen saldo 300 rbu itu harus punya aplikasi TOKO PEDIA dan ternyata ini hanya pembodohan alias penipuan publik, ini cerita sya..",5
68,Aplikasi taik. Disana COD kata nya bisa belanja produk pertama. Giliran byar. Malah gk bisa. Harus belanja minimun 1000.000 Kan kimak. Penipuan ini toped nya.. Gk jelas. Mending di lazada.. Sesuai aplikasi.. Gk tipu2 😈😈😈,1
69,Dari binta 4 sengaja saya turunin jadi bintang 1...prose komplen sangat bertel tele. Dan tokped lebih memihak ke toko dan kurir...pesan dari tanggal 7 barang belum sampai smpe tgl 13..udah di komplen ke cs. Makah nunggu persetujuqn kurir. Udah jelas kurir mengmbalikan barang yg saya pesan.ke toko yg saya beli..masih nunggu persetujuan..sangat kecepa dengan tokped...,1
70,"Suka banget belanja di Tokopedia, pembayarannya mudah dan aman, barang selalu sampai dengan aman, banyak diskon ongkir dan juga semoga Tokopedia dapat memajukan perekonomian di Indonesia khususnya untuk produk produk lokal, sukses terus buat Tokopedia.",5
71,"Saya sudah pesen alamat data sudah diisi semuanya udh bener kok dibatalkan dari pihak Tokopedia, katanya melanggar S&L/apalah kan a** nunggunya/berharapnya yg lbih sakit, tidak seperti shopee yg lebih mudah & praktis, terimakasih shopee",1
72,"katanya pengguna baru dapet gratis belanja. tapi pas udah pembayaran malah tiba2 dibatalkan dari tokped nya. katanya saya melanggar ketentuan. pas saya ketentuannya sama sekali tidak ada yg saya langgar. giliran saya mau pake gratis belanja lagi malah ga bisa ""hanya untuk pengguna baru"" Aneh! saya aja orderannya yg pertama dibatalkan sama pihak tokped. berati kan saya belom pake itu gratisaaaaaaaan. penipuan",1
73,"Kenapa hp saya tidak bisa program tukar tambah? Selalu terhenti di tahap ke 2, tidak ada option yang bisa disentuh Apa ada ketentuan khusus untuk hp yg bisa ikut?",4
74,"Aplikasi yang sangat membantu, saya minta pengajuan supaya di toko pedia bekerja sama dengan AEON CREDIT supaya bisa belanja dengan pembayaran aeon credit di toko pedia Terimakasih atas pelayanannya",5
75,"Ini aplikasi yang sangat bermanfaat dan terpercaya, bisa belanja online dengan gratis ongkir, ditambah bisa beli kelas prakerja di sini juga, banyak diskonnya, bener bener memuaskan terimakasih Tokopedia",5
76,"Makin lama makin gk jelas tokopedia ini,setiap mau nabung emas aplikasi selalu eror dan keluar tiba""begitu juga dengan reksa dana nya,tapi giliran dipake belanja biasa lancar""aja urh gitu kenapa fitur pembayaran non kartu kredit saya dihapus,saya pengguna lama dan setia tokopedia terus terang sangat kecewa sekali,",1
77,Hai Tokopedia. Untuk batas waktu respon penjual tidak bisa hanya diberi waktu 1x24 jam saja? Karena seringkali penjual lama mengirimkan produk. Dan saya sebagai pembeli merasa ini sangat membuang waktu.,1
78,toped satu2 nya aplikasi e-commers yg SANGAT-SANGAT BURUK pelayanan (cs) customer service nya. bahkan satu2 nya e-commers yg cs nya tidak prnh bs dihubungi by phone. mungkin para karyawan toped mkn gaji buta atau mungkin pimpinannya gak becus menatar /mengatur/mengajar anak buah/karyawan dlm mengatasi masalah customer jauhhhhhh dibanding e-commers lain yg cs nya selalu aktif & responsif dlm menyelesaikan masalah. hati2 guys,1
79,"Baru *pertama kali* belanja udah kena tipu,barang yang aku persen rusak,dan penjualnya gak mau ganti,dah gitu pake ngehina segala Emg sih ini bukan kesalahan tokopedia, tp kesalahan penjualnya.",4
80,Update skrg Makin ga jelas trus nyusahin.. udh ga bisa menghapus semua barang di keranjang.. harus satu-satu.. trus ga bisa langsung nge cek list semua barang sekejap... Update ga guna,1
81,"Pembayaran nya repot, ribet, kadang gk masuk langsung jd gagal transfer batal pesanan padahal butuh, saldo belum di refund 1 kali lg, baru balik 4 dr 5 kali gagal.",2
82,"Tokopedia. .aplikasi ny bagus,tapi sayang gak mampu memilih toko yg bener2 bisa di percaya..saya baru,mengunakan belanja online memesan 2 barang di 2 toko berbeda,yg satu nipu apa yg saya pesan jauh dari yg di pesen....kapok lah awak...stop aj malas belanja online lagi..",3
83,"Padahal pembayaran lancar, dengan promo yg tersedia oleh tokopedia... Ehh pas transaksi lancar tiba tiba di batalkan oleh pihak tokopedia, kode promo yg awalnya bisa di pakai malah tiba tiba dikatakan tidak bisa dan dikira manipulasi transaksi, parah sistemnya",1
84,"Sangat membantu sebagai mitra prakerja, dan saya telah menyelesaikan semua materi nya mohon kerja sama nya agar sertifikat prakerja saya cepat muncul di dashbord prakerja saya , terimakasih",5
